player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Juan Toscano-Anderson,Santa Cruz Warriors,Golden State Warriors,2020-02-07,Standard,2019-20,2019
Juan Toscano-Anderson,Mexico City Capitanes,Sacramento Kings,2023-12-15,Standard,2023-24,2023
Jules Bernard,Capital City Go-Go,Washington Wizards,2023-12-08,Two-Way,2023-24,2023
Justin Anderson,Raptors 905,Brooklyn Nets,2020-01-06,10-Day,2019-20,2019
Justin Anderson,Fort Wayne Mad Ants,Cleveland Cavaliers,2021-12-21,10-Day,2021-22,2021
Justin Anderson,Fort Wayne Mad Ants,Indiana Pacers,2022-03-17,10-Day,2021-22,2021
Justin Champagnie,Sioux Falls Skyforce,Boston Celtics,2023-04-08,Standard,2022-23,2022
Justin Champagnie,Sioux Falls Skyforce,Washington Wizards,2024-02-22,10-Day,2023-24,2023
Justin Jackson,Texas Legends,Boston Celtics,2021-12-18,10-Day,2021-22,2021
Justin Jackson,Texas Legends,Phoenix Suns,2022-01-04,10-Day,2021-22,2021
Justin Jackson,Texas Legends,Phoenix Suns,2022-02-02,10-Day,2021-22,2021
Justin Jackson,Texas Legends,Minnesota Timberwolves,2024-02-22,10-Day,2023-24,2023
Justin James,Cleveland Charge,New Orleans Pelicans,2021-12-26,10-Day,2021-22,2021
Justin Minaya,Mexico City Capitanes,Portland Trail Blazers,2023-04-04,Standard,2022-23,2022
Justin Patton,Westchester Knicks,Houston Rockets,2021-02-19,Two-Way,2020-21,2021
Justin Robinson,Delaware Blue Coats,Oklahoma City Thunder,2021-04-05,10-Day,2020-21,2021
Justin Tillman,College Park Skyhawks,Atlanta Hawks,2021-12-27,10-Day,2021-22,2021
Justise Winslow,Raptors 905,Toronto Raptors,2024-02-10,10-Day,2023-24,2023
Juwan Morgan,Salt Lake City Stars,Utah Jazz,2019-11-21,Standard,2019-20,2019
Juwan Morgan,Maine Celtics,Toronto Raptors,2021-12-23,10-Day,2021-22,2021
Juwan Morgan,Maine Celtics,Boston Celtics,2022-03-28,10-Day,2021-22,2021
Keaton Wallace,Ontario Clippers,LA Clippers,2023-02-21,Two-Way,2022-23,2022
Keifer Sykes,Fort Wayne Mad Ants,Indiana Pacers,2021-12-26,Standard,2021-22,2021
Keion Brooks Jr.,Birmingham Squadron,New Orleans Pelicans,2025-01-09,Two-Way,2024-25,2024
Kendall Brown,Long Island Nets,Brooklyn Nets,2025-02-25,Two-Way,2024-25,2024
Kenny Wooten,Westchester Knicks,New York Knicks,2020-01-14,Two-Way,2019-20,2019
Kevin Hervey,Oklahoma City Blue,Oklahoma City Thunder,2019-12-12,Two-Way,2019-20,2019
Kevin Knox II,Rip City Remix,Detroit Pistons,2023-11-08,Standard,2023-24,2023
